date,beta
2017-11-29,0.0008032465016082152
2017-11-30,0.0008382979672665362
2017-12-01,0.0008486417486828852
2017-12-04,0.000831088592904532
2017-12-05,0.0008162361433573344
2017-12-06,0.0008068361107562573
2017-12-07,0.0008007001524152205
2017-12-08,0.0007986264608541787
2017-12-11,0.0008099253494860885
2017-12-12,0.0008186491511571165
2017-12-13,0.0008225867259482297
2017-12-14,0.0008059524218186259
2017-12-15,0.0007943009282964
2017-12-18,0.0008138957191758472
2017-12-19,0.0008580612590879656
2017-12-20,0.0008620091105904392
2017-12-21,0.0008569158150095516
2017-12-22,0.0008623668903819078
2017-12-26,0.0008623849349487213
2017-12-27,0.0008525145063373284
2017-12-28,0.0008559855969818124
2017-12-29,0.0008601211364059631
2018-01-02,0.0008434849082796815
2018-01-03,0.0008294184255295393
2018-01-04,0.0006424456567127573
2018-01-08,0.0006624763245834652
2018-01-09,0.0006662230361576054
2018-01-10,0.0006659251358699169
2018-01-11,0.0006753504508386915
2018-01-12,0.0007255453339508986
2018-01-17,0.00073446877634696
2018-01-18,0.0006427769451314902
2018-01-19,0.0006244721065018622
2018-01-22,0.0006367690051935124
2018-01-23,0.0004829973733659985
2018-01-24,-9.528564648688656e-05
2018-01-25,-0.00010982192464928234
2018-01-26,-0.00011282919063715019
2018-01-29,-4.1524975640538415e-05
2018-01-30,-9.588905108241715e-05
2018-01-31,-0.00016743144657558587
2018-02-01,-0.00017436986233403898
2018-02-02,-0.00018753273371982705
2018-02-05,-0.00030393176467670825
2018-02-06,-0.0005258511905457787
2018-02-07,-0.00044730761075400757
2018-02-09,-0.00044129470002510327
2018-02-12,-0.0013283869097181875
2018-02-13,-0.001250725148146079
2018-02-14,-0.0012363532125128159
2018-02-15,-0.0011563410314292812
2018-02-16,-0.0010916803190039585
2018-02-20,-0.0010896162224671606
2018-02-21,-0.0011237543701800472
2018-02-22,-0.0011549196993076284
2018-02-23,-0.0011495937663435272
2018-02-26,-0.0012129025742693867
2018-02-27,-0.0011590816640648326
2018-02-28,-0.001140947599222585
2018-03-01,-0.001200322530630453
2018-03-02,-0.001290434371772121
2018-03-05,-0.0012702360685842417
2018-03-06,-0.001180553862711061
2018-03-07,-0.0011655875796915606
2018-03-08,-0.0011954844527209494
2018-03-09,-0.0011680962947646506
2018-03-13,-0.0011230203640886292
2018-03-15,-0.001307778425700901
2018-03-16,-0.0013161453011182886
2018-03-19,-0.0013264266373150637
2018-03-20,-0.00024657414739651264
2018-03-21,-0.0002475171836656136
2018-03-22,-0.0002616135947849333
2018-03-23,-0.00037199074166050704
2018-03-26,-0.00045577752693459485
2018-03-27,-0.00035676661845838195
2018-03-28,-0.00045183977306768506
2018-03-29,-0.000471991545371601
2018-04-02,-0.00042916963272762677
2018-04-03,-0.0005036051825797077
2018-04-04,-0.0004644363481651079
2018-04-05,-0.00044370567659337147
2018-04-06,-0.000422040376908561
2018-04-09,-0.000490047750200248
2018-04-10,-0.0005242902903079853
